Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.13,-.25,-.17,.07,-.05,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.08,-.06,.09,.10,.08,-.05,-.08,-.02,-.05,-.01,.00,.09,.00,.00,-.03,.09,-.05,-.02
1882,.07,.07,.07,-.02,-.04,-.15,-.05,.01,-.05,.03,-.01,-.07,-.01,.00,.08,.00,-.06,-.01
1883,-.02,-.08,-.09,-.07,-.11,-.03,-.09,-.05,-.11,-.07,-.04,-.06,-.07,-.07,-.06,-.09,-.06,-.07
1884,-.09,-.06,-.10,-.22,-.32,-.30,-.22,-.07,-.12,-.07,-.10,-.15,-.15,-.14,-.07,-.21,-.20,-.10
1885,-.20,-.23,-.30,-.36,-.33,-.43,-.34,-.23,-.20,-.13,-.11,-.10,-.25,-.25,-.19,-.33,-.33,-.15
1886,-.15,-.20,-.17,-.20,-.16,-.32,-.22,-.19,-.15,-.25,-.15,-.29,-.20,-.19,-.15,-.18,-.25,-.18
1887,-.37,-.44,-.28,-.31,-.36,-.28,-.28,-.17,-.30,-.23,-.25,-.23,-.29,-.30,-.37,-.32,-.24,-.26
1888,-.21,-.13,-.22,-.20,-.30,-.32,-.22,-.11,-.06,.05,.06,.14,-.13,-.16,-.19,-.24,-.21,.02
1889,.08,.02,.12,.02,.01,-.14,-.08,-.20,-.18,-.11,-.06,-.04,-.05,-.03,.08,.05,-.14,-.12
1890,-.21,-.33,-.34,-.35,-.44,-.34,-.33,-.39,-.39,-.40,-.25,-.17,-.33,-.32,-.19,-.38,-.35,-.35
1891,-.21,-.26,-.21,-.20,-.18,-.29,-.24,-.22,-.24,-.17,-.11,-.06,-.20,-.21,-.21,-.20,-.25,-.17
1892,-.09,-.06,-.14,-.22,-.24,-.39,-.27,-.22,-.14,-.02,-.03,-.12,-.16,-.16,-.07,-.20,-.29,-.06
1893,-.13,-.18,-.13,-.25,-.25,-.33,-.15,-.18,-.18,-.10,-.04,-.04,-.16,-.17,-.14,-.21,-.22,-.10
1894,-.14,-.16,-.25,-.36,-.36,-.41,-.27,-.21,-.24,-.19,-.04,-.07,-.22,-.22,-.11,-.32,-.30,-.15
1895,-.13,-.06,-.17,-.25,-.25,-.22,-.15,-.07,-.19,-.13,-.21,-.06,-.16,-.16,-.09,-.22,-.15,-.17
1896,-.08,-.07,-.04,-.01,-.16,-.29,-.06,.00,-.03,.08,.12,.12,-.03,-.05,-.07,-.07,-.12,.06
1897,.09,.07,.11,.00,-.16,-.17,-.09,-.12,-.10,-.10,-.10,-.12,-.06,-.04,.09,-.02,-.12,-.10
1898,-.10,-.16,-.23,-.34,-.34,-.30,-.34,-.36,-.26,-.32,-.26,-.21,-.27,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.17,-.22,-.27,-.16,-.11,-.05,-.12,-.09,-.06,-.14,-.16,-.18,-.18,-.18,-.09
1900,-.10,.02,-.05,-.08,-.14,-.10,-.14,-.09,-.07,-.02,.00,-.10,-.07,-.07,-.05,-.09,-.11,-.03
1901,-.11,-.13,-.15,-.15,-.19,-.25,-.30,-.24,-.17,-.27,-.13,-.14,-.19,-.18,-.11,-.16,-.26,-.19
1902,-.19,-.15,-.18,-.18,-.25,-.23,-.23,-.31,-.25,-.27,-.26,-.23,-.23,-.22,-.16,-.20,-.26,-.26
1903,-.24,-.23,-.30,-.36,-.37,-.39,-.28,-.36,-.51,-.48,-.44,-.47,-.37,-.35,-.23,-.34,-.35,-.48
1904,-.52,-.57,-.57,-.51,-.60,-.48,-.44,-.44,-.49,-.39,-.27,-.32,-.47,-.48,-.52,-.56,-.46,-.38
1905,-.28,-.36,-.21,-.22,-.30,-.27,-.31,-.17,-.19,-.22,-.21,-.08,-.23,-.25,-.32,-.24,-.25,-.21
1906,.01,-.05,-.17,-.15,-.28,-.29,-.21,-.24,-.33,-.24,-.35,-.34,-.22,-.20,-.04,-.20,-.25,-.31
1907,-.28,-.30,-.25,-.30,-.35,-.34,-.32,-.30,-.29,-.26,-.37,-.36,-.31,-.31,-.31,-.30,-.32,-.31
1908,-.35,-.39,-.40,-.41,-.47,-.47,-.35,-.36,-.42,-.44,-.41,-.44,-.41,-.40,-.37,-.43,-.39,-.43
1909,-.51,-.47,-.42,-.53,-.60,-.53,-.46,-.33,-.42,-.47,-.53,-.56,-.48,-.47,-.47,-.52,-.44,-.47
1910,-.49,-.45,-.52,-.45,-.39,-.32,-.32,-.34,-.35,-.51,-.53,-.53,-.43,-.44,-.50,-.46,-.33,-.46
1911,-.53,-.55,-.57,-.61,-.58,-.65,-.46,-.45,-.45,-.34,-.22,-.12,-.46,-.49,-.54,-.59,-.52,-.33
1912,-.15,-.12,-.15,-.19,-.30,-.32,-.32,-.31,-.34,-.30,-.25,-.30,-.25,-.24,-.13,-.21,-.32,-.30
1913,-.25,-.25,-.39,-.29,-.33,-.40,-.21,-.21,-.27,-.25,-.24,-.15,-.27,-.28,-.27,-.34,-.27,-.25
1914,-.08,-.09,-.13,-.20,-.24,-.28,-.14,-.06,-.04,-.05,-.08,-.02,-.12,-.13,-.11,-.19,-.16,-.06
1915,-.14,.02,.04,.05,-.11,-.31,-.15,-.28,-.20,-.22,-.23,-.18,-.14,-.13,-.05,-.01,-.24,-.22
1916,-.16,-.13,-.18,-.27,-.34,-.48,-.41,-.21,-.25,-.32,-.48,-.52,-.31,-.29,-.16,-.26,-.37,-.35
1917,-.63,-.59,-.54,-.47,-.39,-.39,-.20,-.07,-.17,-.28,-.36,-.30,-.37,-.38,-.58,-.47,-.22,-.27
1918,-.27,-.24,-.26,-.30,-.38,-.29,-.29,-.27,-.10,-.07,.02,-.01,-.21,-.23,-.27,-.31,-.28,-.05
1919,-.01,-.05,-.03,-.01,-.14,-.32,-.26,-.38,-.33,-.32,-.35,-.29,-.21,-.18,-.02,-.06,-.32,-.33
1920,-.34,-.24,-.25,-.28,-.33,-.45,-.36,-.22,-.09,-.14,-.09,-.21,-.25,-.26,-.29,-.29,-.34,-.10
1921,-.29,-.28,-.37,-.44,-.36,-.39,-.27,-.23,-.20,-.05,-.17,-.22,-.27,-.27,-.26,-.39,-.30,-.14
1922,-.28,-.26,-.19,-.31,-.48,-.46,-.29,-.30,-.30,-.34,-.17,-.24,-.30,-.30,-.25,-.33,-.35,-.27
1923,-.38,-.32,-.30,-.29,-.29,-.34,-.33,-.38,-.44,-.32,-.19,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.17,-.25,-.19,-.33,-.30,-.33,-.35,-.46,-.42,-.47,-.52,-.51,-.36,-.33,-.20,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.36,-.37,-.39,-.27,-.21,-.34,-.25,-.11,-.09,-.30,-.34,-.48,-.35,-.29,-.23
1926,-.11,-.13,-.15,-.12,-.23,-.30,-.34,-.19,-.25,-.28,-.28,-.28,-.22,-.20,-.11,-.17,-.28,-.27
1927,-.25,-.28,-.31,-.35,-.39,-.41,-.30,-.31,-.28,-.25,-.19,-.27,-.30,-.30,-.27,-.35,-.34,-.24
1928,-.29,-.27,-.27,-.24,-.42,-.44,-.29,-.26,-.27,-.30,-.23,-.29,-.30,-.30,-.28,-.31,-.33,-.27
1929,-.33,-.37,-.47,-.47,-.49,-.48,-.39,-.44,-.31,-.27,-.19,-.42,-.39,-.37,-.33,-.48,-.44,-.26
1930,-.48,-.35,-.34,-.34,-.29,-.32,-.38,-.30,-.28,-.24,-.07,-.17,-.30,-.32,-.41,-.32,-.33,-.20
1931,-.19,-.16,-.13,-.23,-.23,-.29,-.14,-.16,-.29,-.25,-.36,-.20,-.22,-.22,-.17,-.20,-.20,-.30
1932,-.10,-.16,-.16,-.21,-.25,-.42,-.34,-.34,-.31,-.31,-.22,-.30,-.26,-.25,-.15,-.21,-.37,-.28
1933,-.27,-.27,-.27,-.32,-.33,-.37,-.30,-.33,-.32,-.33,-.38,-.36,-.32,-.32,-.28,-.30,-.33,-.34
1934,-.31,-.41,-.33,-.33,-.28,-.28,-.18,-.15,-.17,-.26,-.20,-.23,-.26,-.27,-.36,-.31,-.20,-.21
1935,-.27,-.30,-.33,-.39,-.30,-.39,-.39,-.37,-.36,-.22,-.19,-.17,-.31,-.31,-.27,-.34,-.38,-.26
1936,-.26,-.25,-.30,-.34,-.32,-.48,-.29,-.28,-.25,-.13,-.12,-.18,-.27,-.27,-.23,-.32,-.35,-.17
1937,-.24,-.19,-.18,-.25,-.23,-.25,-.22,-.12,-.11,-.16,-.08,-.14,-.18,-.18,-.20,-.22,-.19,-.12
1938,-.20,-.22,-.16,-.20,-.23,-.29,-.19,-.21,-.17,-.05,-.18,-.14,-.19,-.19,-.19,-.20,-.23,-.13
1939,-.15,-.14,-.13,-.14,-.11,-.14,-.16,-.19,-.27,-.16,-.10,.10,-.13,-.15,-.14,-.12,-.16,-.18
1940,.12,.04,.16,.08,.06,.07,.09,.08,.07,-.03,.06,.29,.09,.08,.08,.10,.08,.03
1941,.21,.17,.10,.22,.13,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.11,.10,.05,.00,.00,.00,-.17,-.26,-.08,-.04,.00,.03,.20,.09,.00,-.17
1943,.07,-.05,-.08,-.11,-.11,-.04,.17,-.08,-.04,-.01,.03,.08,-.01,-.02,-.01,-.10,.02,-.01
1944,.08,.05,.21,.21,.14,.17,.23,.22,.20,.08,.03,.09,.14,.14,.07,.18,.20,.11
1945,.10,.08,.03,.10,.03,-.05,.02,.25,.21,.13,.07,.08,.09,.09,.09,.05,.07,.14
1946,-.03,-.03,-.09,-.20,-.17,-.37,-.22,-.31,-.13,-.18,-.18,-.16,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.17,-.11,-.10,-.03,-.06,-.09,-.24,-.27,-.15,-.22,-.14,-.13,-.12,-.12,-.06,-.22
