Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1898,-.01,-.28,-.49,-.29,-.29,-.18,-.21,-.25,-.20,-.33,-.37,-.22,-.26,-.26,-.16,-.36,-.21,-.30
1899,-.15,-.38,-.35,-.20,-.23,-.31,-.15,-.08,-.04,-.03,.14,-.25,-.17,-.17,-.25,-.26,-.18,.02
1900,-.34,-.04,.01,-.08,-.08,-.09,-.12,-.08,-.05,.11,-.06,-.05,-.07,-.09,-.21,-.05,-.10,.00
1901,-.21,-.10,.06,-.01,-.15,-.12,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.12,-.03,-.15,-.22
1902,-.17,-.06,-.28,-.28,-.32,-.30,-.28,-.30,-.29,-.28,-.35,-.41,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.40,-.40,-.42,-.35,-.45,-.49,-.48,-.42,-.51,-.37,-.36,-.23,-.34,-.41,-.46
1904,-.64,-.58,-.48,-.50,-.51,-.48,-.51,-.48,-.55,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.59,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.24,-.06,-.13,-.26,-.28,-.42,-.28,-.24,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.46,-.46,-.39,-.36,-.36,-.37,-.37,-.35
1908,-.45,-.33,-.55,-.44,-.38,-.38,-.35,-.46,-.36,-.44,-.51,-.49,-.43,-.43,-.41,-.46,-.40,-.44
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.33,-.39,-.40,-.31,-.56,-.48,-.48,-.56,-.56,-.43,-.36
1910,-.41,-.42,-.50,-.42,-.34,-.39,-.35,-.37,-.39,-.41,-.55,-.67,-.43,-.43,-.46,-.42,-.37,-.45
1911,-.62,-.57,-.61,-.53,-.51,-.49,-.41,-.44,-.41,-.27,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.18,-.22,-.23,-.42,-.54,-.58,-.58,-.38,-.43,-.36,-.34,-.20,-.26,-.40,-.51
1913,-.41,-.45,-.43,-.39,-.44,-.45,-.36,-.33,-.35,-.32,-.19,-.02,-.35,-.38,-.43,-.42,-.38,-.29
1914,.04,-.10,-.24,-.30,-.22,-.26,-.24,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.03,-.25,-.22,-.12
1915,-.20,-.04,-.10,.06,-.07,-.22,-.13,-.22,-.21,-.24,-.13,-.21,-.14,-.13,-.09,-.04,-.19,-.19
1916,-.12,-.14,-.28,-.31,-.35,-.49,-.37,-.28,-.36,-.33,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.64,-.55,-.55,-.44,-.26,-.22,-.23,-.44,-.33,-.68,-.46,-.47,-.68,-.58,-.31,-.34
1918,-.47,-.34,-.25,-.44,-.43,-.36,-.32,-.31,-.18,-.06,-.11,-.29,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.26,-.20,-.41,-.42,-.28,-.27,-.25,-.21,-.33,-.29
1920,-.25,-.27,-.13,-.24,-.27,-.36,-.31,-.27,-.22,-.27,-.27,-.47,-.28,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.24,-.30,-.31,-.28,-.15,-.26,-.19,-.03,-.14,-.18,-.19,-.22,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.28,-.32,-.36,-.33,-.15,-.19,-.28,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.40,-.34,-.29,-.31,-.33,-.31,-.13,-.02,-.04,-.27,-.28,-.29,-.36,-.31,-.15
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.30
1925,-.39,-.41,-.28,-.26,-.29,-.32,-.27,-.20,-.20,-.17,.05,.06,-.22,-.26,-.41,-.28,-.26,-.11
1926,.20,.02,.10,-.13,-.24,-.26,-.28,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.09,-.09,-.22,-.10
1927,-.27,-.18,-.39,-.31,-.25,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.02,-.09,-.26,-.28,-.30,-.39,-.20,-.23,-.22,-.20,-.09,-.16,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.32,-.26,-.14,-.11,-.54,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.18,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.04,-.04,-.07,.05,-.05,-.06,-.09,-.09,-.12,-.17,-.05,-.03
1932,.15,-.17,-.18,-.05,-.17,-.29,-.25,-.21,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.30,-.45,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.22,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.16,-.07,.03,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.15,-.37,-.30,-.27,-.22,-.22,-.22,-.06,-.26,-.18,-.20,-.19,-.07,-.27,-.24,-.18
1936,-.28,-.39,-.22,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.17,-.28,-.20,-.15,-.04
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.02,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.03,.09
1938,.08,.03,.09,.06,-.10,-.17,-.10,-.06,.00,.15,.08,-.13,-.01,.00,.01,.02,-.11,.07
1939,-.05,-.07,-.18,-.10,-.05,-.07,-.06,-.06,-.07,-.04,.07,.44,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.09,.09,.18,.11,.11,.12,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.15
1941,.18,.31,.10,.16,.17,.13,.21,.15,.02,.35,.23,.22,.18,.19,.27,.14,.16,.20
1942,.30,.03,.05,.09,.11,.05,.00,-.04,-.03,.01,.10,.13,.07,.07,.18,.08,.00,.03
1943,-.01,.17,-.04,.10,.06,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.10,.04,.01,.16
1944,.36,.24,.26,.19,.18,.15,.17,.18,.27,.26,.11,.03,.20,.22,.28,.21,.17,.21
1945,.10,.00,.05,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.04,.10,.10,.15
1946,.15,.02,.01,.05,-.08,-.21,-.13,-.20,-.08,-.08,-.05,-.31,-.08,-.06,.03,-.01,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.05,-.07,-.13,.07,.03,-.14,-.03,-.04,-.15,.03,-.05,-.01
1948,.07,-.15,-.25,-.12,-.01,-.05,-.12,-.12,-.15,-.05,-.13,-.24,-.11,-.10,-.07,-.13,-.10,-.11
1949,.06,-.15,-.02,-.11,-.11,-.28,-.13,-.13,-.15,-.07,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.11
1950,-.26,-.27,-.08,-.21,-.12,-.06,-.09,-.16,-.12,-.21,-.34,-.21,-.18,-.18,-.24,-.14,-.10,-.22
1951,-.34,-.42,-.20,-.14,-.01,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.08,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.12,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.27,-.29,-.16,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.10,.16,.03,.13,.08,.00,.07,.15,.05,.03,-.06,.02,.11,.05
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.01,.04,.02,.01,.07,.08,.25,.05,-.01,.02
1959,.08,.07,.18,.14,.05,.03,.03,.00,-.06,-.06,-.07,.00,.03,.03,.06,.12,.02,-.07
1960,.00,.15,-.34,-.15,-.07,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.04,-.16,.06,.09,.15,.12,.04,.05
1962,.06,.16,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.03,.04,.02,.02,.03,.02,.03
1963,-.03,.18,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.05,-.05,-.21,-.30,-.31,-.22,-.30,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.13,-.20,-.11,-.08,-.14,-.05,-.14,-.06,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.22,.05,-.04,.11,-.08,.03,-.01,-.05,.10,-.04,-.05,-.02,-.02,-.11,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.07,-.13,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.05
1969,-.11,-.17,.00,.17,.18,.04,-.04,.04,.08,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.03,.02,-.12,.02,.06,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.05,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.22,.19,.12,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.07,-.08,-.07,-.07,-.15,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.13,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.23,.24,.27,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.25,.29,.48,.16,.13,.02,.12,.11,.26
1980,.30,.40,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.32,.20,.21
1981,.52,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.30,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.06,.14,.03,.14,.13,.17,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.27,.33,.22,.18,.35,.37,.16,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.32,.02,.19,.19,.21,.13,.07,-.04,.15,.17,.21,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.13,.11,.10,.05,.15,.12,.10
1986,.27,.37,.30,.22,.21,.12,.11,.15,.03,.15,.11,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.34,.40,.24,.35,.32,.29,.46,.32,.29,.30,.23,.33,.32
1988,.57,.44,.51,.42,.43,.39,.32,.38,.36,.37,.12,.28,.38,.40,.49,.46,.37,.28
1989,.12,.30,.36,.29,.17,.16,.33,.33,.35,.28,.19,.37,.27,.26,.23,.27,.28,.27
1990,.41,.43,.79,.56,.45,.39,.46,.34,.23,.44,.47,.40,.45,.45,.40,.60,.40,.38
1991,.42,.50,.35,.51,.34,.53,.47,.40,.44,.28,.29,.31,.40,.41,.44,.40,.46,.34
1992,.47,.41,.47,.27,.30,.26,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.12,.23,.03,.18,.23,.23,.31,.30,.19,.13
1994,.26,.02,.30,.40,.27,.44,.30,.22,.32,.41,.44,.38,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.46,.28,.42,.45,.46,.34,.47,.44,.25,.45,.46,.56,.40,.44,.42
1996,.23,.47,.33,.32,.28,.25,.36,.48,.25,.20,.38,.37,.33,.32,.32,.31,.36,.28
1997,.30,.41,.52,.35,.36,.54,.34,.43,.52,.60,.64,.58,.46,.45,.36,.41,.43,.59
1998,.59,.88,.63,.64,.66,.76,.68,.66,.42,.43,.43,.56,.61,.61,.68,.65,.70,.43
1999,.48,.65,.32,.33,.27,.36,.38,.32,.38,.34,.37,.41,.39,.40,.56,.31,.35,.37
2000,.25,.56,.55,.57,.35,.39,.37,.42,.40,.27,.31,.28,.39,.40,.41,.49,.40,.32
2001,.46,.44,.56,.51,.58,.52,.59,.50,.52,.51,.73,.56,.54,.52,.39,.55,.54,.58
2002,.77,.79,.88,.58,.63,.53,.60,.53,.63,.54,.59,.43,.63,.64,.71,.70,.55,.59
2003,.75,.59,.60,.55,.61,.48,.58,.65,.62,.74,.53,.75,.62,.59,.59,.59,.57,.63
2004,.58,.73,.63,.62,.39,.44,.26,.47,.51,.61,.73,.51,.54,.56,.69,.55,.39,.62
2005,.74,.61,.74,.68,.63,.65,.62,.62,.72,.75,.74,.68,.68,.67,.62,.69,.63,.73
2006,.56,.73,.63,.48,.50,.66,.55,.71,.65,.69,.73,.79,.64,.63,.66,.54,.64,.69
2007,1.01,.70,.72,.75,.68,.61,.60,.60,.60,.59,.58,.49,.66,.69,.84,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.47,.61,.65,.69,.54,.54,.54,.39,.59,.52,.65
2009,.65,.54,.54,.60,.66,.65,.71,.68,.73,.66,.80,.67,.66,.65,.58,.60,.68,.73
2010,.75,.84,.92,.84,.76,.68,.64,.66,.63,.70,.82,.45,.73,.74,.75,.84,.66,.72
2011,.52,.48,.65,.65,.52,.61,.70,.73,.58,.66,.59,.60,.61,.59,.48,.60,.68,.61
2012,.49,.49,.57,.71,.77,.65,.58,.64,.71,.79,.79,.53,.64,.65,.53,.69,.62,.76
2013,.71,.63,.67,.56,.62,.70,.61,.70,.77,.69,.85,.70,.68,.67,.62,.62,.67,.77
2014,.76,.55,.79,.81,.85,.67,.58,.80,.84,.79,.66,.80,.74,.73,.67,.82,.68,.77
2015,.86,.89,.96,.77,.79,.81,.74,.82,.84,1.08,1.06,1.16,.90,.87,.85,.84,.79,.99
2016,1.17,1.37,1.36,1.12,.95,.81,.84,1.01,.91,.87,.90,.85,1.01,1.04,1.23,1.14,.89,.90
2017,1.03,1.14,1.16,.93,.90,.72,.82,.86,.79,.90,.88,.94,.92,.91,1.01,1.00,.80,.86
2018,.82,.85,.90,.89,.82,.78,.82,.76,.80,1.00,.82,.91,.85,.85,.87,.87,.79,.88
2019,.93,.95,1.18,1.02,.86,.92,.94,.93,.92,1.02,1.02,***,***,.97,.93,1.02,.93,.99
